Nr.;Stadtteil Stadtbezirk Stadt Köln;0 -2;3 - 5;6 - 14;15 - 17;18 - 20;21 - 34;35 - 59;60 - 64;65 - 74;75 - 79;80 u. älter;Alleinerziehende;Haushalte mit Kind(ern);Haushalte insgesamt;EinpersonenHaushalte;2-Personen-Haushalte;3-Personen-Haushalte;4-Personen-Haushalte;5-PersonenHaushalte und größer;Personen je Haushalt;Jugendquotient am 31.12.2020 ;;;;
601;Merkenich;214;174;423;161;184;1031;2266;358;523;212;319;99;601;2766;1043;902;413;311;97;2,12;25,0 bis 29,9;;;;
602;Fühlingen;66;78;141;75;61;311;772;194;215;73;107;39;191;933;321;346;136;100;30;2,12;25,0 bis 29,9;;;;
603;Seeberg;356;408;1183;412;378;1940;3571;623;1068;456;734;343;1289;4741;1570;1459;764;590;358;2,33;35,0 und mehr;;;;
604;Heimersdorf;197;216;472;164;165;905;2041;445;658;267;679;102;603;2888;1102;985;367;322;112;2,1;25,0 bis 29,9;;;;
605;Lindweiler;105;91;353;122;131;484;1147;209;376;162;304;115;382;1574;576;498;224;172;104;2,21;30,0 bis 34,9;;;;
606;Pesch;206;213;637;183;209;1020;2514;499;1022;539;712;145;761;3754;1398;1368;514;329;145;2,06;25,0 bis 29,9;;;;
607;Esch/Auweiler;205;233;657;213;211;883;2602;478;695;295;514;109;751;3071;1044;1007;484;393;143;2,23;30,0 bis 34,9;;;;
608;Volkhoven/Weiler;183;185;598;194;235;1122;2234;375;481;171;219;147;678;2479;757;770;409;360;183;2,4;25,0 bis 29,9;;;;
609;Chorweiler;439;512;1471;463;492;2198;3925;826;1334;449;773;497;1555;5151;1552;1561;903;660;475;2,45;35,0 und mehr;;;;
610;Blumenberg;139;153;510;204;208;1036;2000;368;439;89;150;111;592;2019;513;603;424;310;169;2,55;25,0 bis 29,9;;;;
611;Roggendorf/Thenhoven;190;254;452;130;130;805;1653;262;387;104;172;127;568;1949;649;610;306;266;118;2,3;35,0 und mehr;;;;
612;Worringen;322;348;924;322;306;1742;3569;674;985;362;676;268;1118;4769;1812;1568;689;501;199;2,12;30,0 bis 34,9;;;;
6;Chorweiler;2622;2865;7821;2643;2710;13477;28294;5311;8183;3179;5359;2102;9089;36094;12337;11677;5633;4314;2133;2,25;30,0 bis 34,9;;;;
701;Poll;276;337;908;275;330;1941;4124;716;1100;453;808;226;1035;5659;2622;1756;617;484;180;1,92;20,0 bis 24,9;;;;
702;Westhoven;117;158;434;101;126;855;2091;409;665;285;356;72;485;2862;1396;836;306;234;90;1,89;20,0 bis 24,9;;;;
703;Ensen;243;243;621;210;200;1387;2726;526;772;324;454;151;733;3577;1501;1147;456;330;143;2,03;25,0 bis 29,9;;;;
704;Gremberghoven;125;115;335;116;120;668;1043;114;214;75;143;70;370;1350;543;354;199;135;119;2,25;35,0 und mehr;;;;
705;Eil;296;295;798;249;308;1593;3158;697;939;382;557;236;966;4533;1910;1404;620;401;198;2,04;25,0 bis 29,9;;;;
706;Porz;412;439;1272;441;484;2691;5319;953;1395;591;1026;330;1462;7186;3227;2090;876;654;339;2,02;25,0 bis 29,9;;;;
707;Urbach;378;431;1139;372;377;2267;4482;786;1311;530;932;336;1330;6337;2710;1962;831;523;311;2,03;25,0 bis 29,9;;;;
708;Elsdorf;36;36;155;78;67;209;622;82;145;79;205;40;190;754;296;230;100;87;41;2,16;30,0 bis 34,9;;;;
709;Grengel;182;183;490;151;148;984;1945;364;568;228;326;169;576;2746;1204;816;354;237;135;2,03;25,0 bis 29,9;;;;
710;Wahnheide;238;233;598;225;200;1464;2831;557;786;298;448;184;758;4074;1974;1180;465;314;141;1,91;25,0 bis 29,9;;;;
711;Wahn;216;270;749;220;228;1252;2721;435;586;232;314;182;803;3227;1185;1025;496;350;171;2,18;30,0 bis 34,9;;;;
712;Lind;99;118;279;95;90;618;1249;265;422;171;207;71;304;1740;743;601;211;132;53;1,95;25,0 bis 29,9;;;;
713;Libur;26;37;121;36;34;171;443;81;82;32;56;21;131;486;150;155;83;83;15;2,3;30,0 bis 34,9;;;;
714;Zündorf;256;282;963;343;310;1529;4037;903;1511;685;877;265;1094;5757;2322;2004;769;482;180;2;25,0 bis 29,9;;;;
715;Langel;87;132;319;97;101;460;1264;267;456;130;188;80;386;1616;552;557;264;185;58;2,17;30,0 bis 34,9;;;;
716;Finkenberg;260;281;884;298;281;1183;1898;330;657;234;518;158;775;2591;756;799;394;297;345;2,59;35,0 und mehr;;;;
7;Porz;3247;3590;10065;3307;3404;19272;39953;7485;11609;4729;7415;2591;11398;54495;23091;16916;7041;4928;2519;2,05;25,0 bis 29,9;;;;
801;Humboldt/Gremberg;495;448;1187;358;466;3928;5156;786;1098;483;704;391;1420;8133;4448;1949;811;569;356;1,84;20,0 bis 24,9;;;;
802;Kalk;722;718;1931;629;844;6893;8299;1069;1635;527;861;598;2162;12919;7338;2963;1230;820;568;1,8;20,0 bis 24,9;;;;
803;Vingst;437;480;1435;442;471;2409;4393;694;1102;362;690;493;1541;5749;2313;1565;806;651;414;2,21;30,0 bis 34,9;;;;
804;Höhenberg;365;378;991;286;451;3215;4220;654;1083;372;561;355;1205;6713;3608;1688;686;468;263;1,83;20,0 bis 24,9;;;;
805;Ostheim;547;608;1643;480;521;2745;4735;692;1073;372;578;439;1750;6030;2298;1604;854;762;512;2,31;35,0 und mehr;;;;
806;Merheim;341;386;1189;365;377;1934;4187;584;857;417;570;226;1315;4927;1847;1451;716;640;273;2,21;30,0 bis 34,9;;;;
807;Brück;266;295;921;301;274;1512;3554;711;1087;473;864;205;1038;4925;2051;1571;638;497;168;2,03;25,0 bis 29,9;;;;
808;Rath/Heumar;338;346;940;298;336;1823;4259;769;1235;540;892;188;1170;5879;2488;1897;733;562;199;2;25,0 bis 29,9;;;;
809;Neubrück;311;353;1025;332;309;1507;2736;483;747;337;904;233;999;3816;1444;1113;514;427;318;2,27;35,0 und mehr;;;;
